iter	Passed	Remaining
0	68	13606
1	123	12251
2	171	11231
3	238	11687
4	282	10998
5	339	10964
6	382	10554
7	435	10459
8	478	10147
9	536	10200
10	591	10168
11	636	9968
12	683	9829
13	726	9651
14	781	9638
15	833	9580
16	894	9625
17	976	9876
18	1045	9962
19	1088	9793
20	1149	9798
21	1215	9833
22	4175	32134
23	4660	34178
24	4918	34427
25	5237	35051
26	5410	34668
27	5663	34790
28	5900	34793
29	6115	34653
30	6294	34313
31	6511	34183
32	6680	33805
33	6883	33609
34	7088	33418
35	7515	34237
36	7745	34123
37	7964	33951
38	8184	33786
39	8428	33714
40	8590	33313
41	8761	32958
42	8969	32749
43	9468	33571
44	9551	32899
45	9605	32156
46	9650	31416
47	9705	30733
48	9760	30077
49	9808	29426
50	9867	28829
51	9927	28255
52	9976	27671
53	10045	27161
54	10096	26617
55	10144	26086
56	10208	25611
57	10249	25093
58	10290	24591
59	10330	24104
60	10373	23637
61	10415	23183
62	10451	22728
63	10494	22299
64	10546	21904
65	10589	21499
66	10630	21102
67	10671	20714
68	10710	20333
69	10764	19991
70	10804	19630
71	10847	19283
72	10889	18943
73	10927	18606
74	10968	18280
75	11008	17960
76	11047	17646
77	11100	17362
78	11153	17083
79	11190	16785
80	11229	16497
81	11271	16219
82	11309	15942
83	11349	15673
84	11451	15492
85	11502	15247
86	11542	14991
87	11580	14738
88	11616	14488
89	11637	14223
90	11677	13986
91	11718	13756
92	11757	13527
93	11798	13304
94	11837	13083
95	11880	12870
96	11922	12659
97	11960	12449
98	12001	12243
99	12042	12042
100	12085	11846
101	12121	11646
102	12166	11457
103	12216	11276
104	12270	11101
105	12311	10918
106	12351	10735
107	12392	10556
108	12434	10381
109	12473	10205
110	12526	10043
111	12566	9873
112	12604	9704
113	12645	9539
114	12687	9377
115	12707	9202
116	12745	9041
117	12784	8884
118	12822	8728
119	12861	8574
120	12912	8430
121	12951	8280
122	12989	8131
123	13047	7996
124	13086	7851
125	13127	7710
126	13170	7570
127	13224	7438
128	13290	7314
129	13332	7179
130	13389	7052
131	13444	6925
132	13485	6793
133	13528	6663
134	13569	6533
135	13611	6405
136	13650	6277
137	13716	6162
138	13754	6036
139	13808	5917
140	13861	5800
141	13915	5683
142	13957	5563
143	13997	5443
144	14039	5325
145	14085	5209
146	14124	5092
147	14165	4977
148	14206	4862
149	14247	4749
150	14302	4641
151	14346	4530
152	14387	4419
153	14429	4309
154	14495	4208
155	14536	4100
156	14581	3993
157	14621	3886
158	14663	3781
159	14706	3676
160	14747	3572
161	14789	3469
162	14828	3365
163	14866	3263
164	14909	3162
165	14952	3062
166	14993	2962
167	15030	2863
168	15075	2765
169	15115	2667
170	15158	2570
171	15197	2473
172	15234	2377
173	15276	2282
174	15331	2190
175	15370	2095
176	15412	2002
177	15455	1910
178	15494	1817
179	15540	1726
180	15598	1637
181	15637	1546
182	15678	1456
183	15722	1367
184	15763	1278
185	15804	1189
186	15846	1101
187	15898	1014
188	15946	928
189	15987	841
190	16027	755
191	16071	669
192	16116	584
193	16159	499
194	16199	415
195	16252	331
196	16293	248
197	16335	165
198	16373	82
199	16416	0
